day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Temp_Humidity,Temp_Humidity_Ratio,Heat_Index,Fire_Risk,Fire_Risk_Label,Fire_Risk_Encoded
1,6,2012,-0.8706546931179822,-0.3406732250339124,0.8932768965850293,-0.3816569059723695,-0.8479270196499679,-0.9121201723424198,-0.8794014391831437,-0.8303557302688325,-0.936011545504452,-0.8801586304586865,,-0.8059642048307675,-0.2570937502666754,-1.037999620610489,Low,0,0
2,6,2012,-0.8706546931179822,-0.0703594497416978,-0.8888765177841181,0.268641996922299,-0.9387086049232766,-0.8555202740075863,-0.8794014391831437,-0.9027202643233428,-0.9007980816764884,-0.8936262047425136,,-0.5012957276586605,-0.4030953626973667,-0.985321002932848,Low,0,0
3,6,2012,-1.6992542639835284,1.348787870542429,2.318999628080347,6.171355115504675,-2.146802008945003,-0.9848914702014916,-0.8899128337724415,-1.071570843783867,-0.9853103948636008,-0.9340289275939956,,0.4521064896988811,-1.0960197520551371,-1.6334361236157275,Low,0,0
4,6,2012,-1.9754541209387104,1.8218369773038048,-0.8888765177841181,0.8689179072866086,-3.438693799372861,-1.0819198673469204,-0.8941173916081605,-1.143935377838377,-1.055737322519528,-0.9474965018778227,,0.6963665619144497,-1.254328320410283,-1.8494744971766872,Low,0,0
5,6,2012,-1.4230544070283464,1.0108956514271608,0.1804155308373703,-0.3816569059723695,-0.9107758094545668,-0.9444629713908962,-0.7406510306044145,-0.8544772416203358,-0.9007980816764884,-0.8801586304586865,,0.3129045130599012,-0.9490812402622948,-1.3910584412159477,Low,0,0
6,6,2012,-0.3182549792076179,0.3351112131966241,-0.5324458349102886,-0.3816569059723695,0.3322335889030474,-0.7180633780515623,-0.5724687171756515,-0.3961685259417705,-0.6824746059431148,-0.6108071447821412,,0.3076516082810718,-0.4587758541081447,-0.2898511674227293,Low,0,0
7,6,2012,0.2341447347027462,-0.5434085565030734,-0.8888765177841181,-0.3816569059723695,0.7232927254649941,-0.3865496878046802,-0.39797956699331,0.3998413486578428,-0.4078095880849995,0.0221688465577402,,-0.4671518465962692,0.1907703913131022,0.1553952341185994,Moderate,1,1
8,6,2012,-0.5944548361628,0.7405818761349461,-0.1760151520364591,-0.3816569059723695,0.6115615435901518,-0.2086642930380607,-0.2340018114002663,0.2068692578458152,-0.2246995761795893,0.0087012722739129,,0.6044407282849347,-0.6851502018274651,-0.5190591954030993,Moderate,1,1
9,6,2012,-1.9754541209387104,1.754258533480751,-0.8888765177841181,-0.2816109209116513,-1.741776474648702,-0.5482636830470616,-0.2234904168109686,-1.0474493324323633,-0.4359803591473703,-0.907093779026341,,0.6307052521790818,-1.2403591156440965,-1.8626441515960972,Low,0,0
10,6,2012,-1.1468545500731642,1.146052539073268,-1.2453072006579475,-0.3816569059723695,-0.3241871046116472,-0.4188924868531565,-0.0658194979715034,-0.8303557302688325,-0.2880838110699237,-0.8262883333233774,,0.6622226808520584,-0.9325344267179136,-1.0564931778802982,Low,0,0
