day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Temp_Humidity,Temp_Humidity_Ratio,Heat_Index,Fire_Risk,Fire_Risk_Label,Fire_Risk_Encoded
1,6,2012,-0.8706546931179814,-0.3406732250339123,0.8932768965850295,-0.3816569059723695,-0.847927019649969,-0.9121201723424196,-0.8794014391831438,-0.8303557302688325,-0.936011545504452,-0.8801586304586864,,0.8453577514078885,0.171463654553526,-0.9100479241224556,Low,0,0
2,6,2012,-0.8706546931179814,-0.0703594497416976,-0.8888765177841181,0.2686419969222983,-0.9387086049232776,-0.8555202740075861,-0.8794014391831438,-0.9027202643233428,-0.9007980816764884,-0.8936262047425135,,0.6354917126617354,0.4797176848532037,-0.8981740909113506,Low,0,0
3,6,2012,-1.6992542639835275,1.3487878705424292,2.3189996280803475,6.171355115504675,-2.1468020089450044,-0.9848914702014914,-0.8899128337724416,-1.071570843783867,-0.9853103948636008,-0.9340289275939956,,-1.462894698247907,0.0516766868324485,-1.6876848378618807,Low,0,0
4,6,2012,-1.975454120938709,1.821836977303805,-0.8888765177841181,0.8689179072866084,-3.4386937993728623,-1.08191986734692,-0.8941173916081606,-1.143935377838377,-1.055737322519528,-0.9474965018778226,,-2.6283909499791536,0.0571870095566764,-1.9508550868453831,Low,0,0
5,6,2012,-1.4230544070283455,1.010895651427161,0.1804155308373701,-0.3816569059723695,-0.910775809454568,-0.944462971390896,-0.7406510306044146,-0.8544772416203358,-0.9007980816764884,-0.8801586304586864,,-0.7019248253791865,0.0470341028745717,-1.4185776722728118,Low,0,0
6,6,2012,-0.3182549792076171,0.335111213196624,-0.5324458349102886,-0.3816569059723695,0.3322335889030462,-0.7180633780515621,-0.5724687171756516,-0.3961685259417704,-0.6824746059431147,-0.610807144782141,,0.4857635270549829,0.061413362320632,-0.3124644268888039,Low,0,0
7,6,2012,0.2341447347027467,-0.5434085565030735,-0.8888765177841181,-0.3816569059723695,0.723292725464993,-0.38654968780468,-0.3979795669933101,0.3998413486578431,-0.4078095880849993,0.0221688465577402,,0.4674070980784917,0.0777014507166888,0.2168445293809981,Moderate,1,1
8,6,2012,-0.5944548361627993,0.7405818761349462,-0.1760151520364588,-0.3816569059723695,0.6115615435901507,-0.2086642930380605,-0.2340018114002663,0.2068692578458154,-0.2246995761795891,0.0087012722739129,,0.1882934858426646,0.0660287906213748,-0.5786031341750837,Moderate,1,1
9,6,2012,-1.975454120938709,1.7542585334807512,-0.8888765177841181,-0.2816109209116513,-1.741776474648703,-0.5482636830470614,-0.2234904168109686,-1.0474493324323633,-0.4359803591473701,-0.9070937790263408,,-2.5093481381838485,0.0558756339514481,-1.953823545148159,Low,0,0
10,6,2012,-1.1468545500731635,1.1460525390732683,-1.2453072006579475,-0.3816569059723695,-0.3241871046116483,-0.4188924868531563,-0.0658194979715034,-0.8303557302688325,-0.2880838110699235,-0.8262883333233773,,-0.5911698042784916,0.0598122303424233,-1.1286912985643152,Low,0,0
